covariance_type,n_components,bic,aic
full,1,2389.0844768529105,2254.890812533931
full,2,2171.0741770656705,1899.6369924204619
full,3,2116.629812188896,1707.9491072174578
full,4,2099.315061612044,1553.3908363143764
full,5,2067.959508033946,1384.7917624100496
tied,1,2389.08447685291,2254.8908125339303
tied,2,2384.1879170287652,2222.54554864454
tied,3,2315.308902697332,2126.2178302478605
tied,4,2333.8752298308027,2117.3354533160855
tied,5,2311.7918107496425,2067.8033301696796
diag,1,3622.46827499548,3573.6705788794875
diag,2,3414.1970381317456,3313.551789892511
diag,3,3292.0259305186564,3139.5331301561796
diag,4,3252.1820797543865,3047.8417272686675
diag,5,3205.286914866878,2949.0990102579167
spherical,1,3587.119282944733,3559.6705788794875
spherical,2,3406.767310016037,3348.820045878296
spherical,3,3310.805690583513,3222.3598663732764
spherical,4,3264.1146543575755,3145.1702700748438
spherical,5,3230.3007581033908,3080.8578137481636
