feature_set,n_components,bic,aic,mean_max_prob,mean_entropy,silhouette
ODE parameters only,1,943.8177467794737,916.3690427142279,1.0,-0.0,
ODE parameters only,2,960.9582472732519,903.0109831355107,0.8744307542660176,0.28165231652098965,0.3149546522343953
ODE parameters only,3,1000.2708337328725,911.8250095226359,0.8066837829558577,0.47510964157749597,0.28735787914895067
ODE parameters only,4,1023.3131980933192,904.3688138105872,0.803111502119989,0.46431497574333963,0.1530179307497122
ODE parameters only,5,1054.6086709168558,905.1657265616284,0.8439670791156252,0.37186759873605485,0.03365566315937422
ODE parameters + burden,1,2389.0844768529105,2254.890812533931,1.0,-0.0,
ODE parameters + burden,2,2171.0741770656705,1899.6369924204619,0.9966079515469954,0.01202933831360836,0.2038519168762886
ODE parameters + burden,3,2116.629812188896,1707.9491072174578,0.9953579433871778,0.011625108698247033,0.1397478720720237
ODE parameters + burden,4,2099.315061612044,1553.3908363143764,0.9953833870767327,0.01513641854720253,0.11186387327897207
ODE parameters + burden,5,2067.959508033946,1384.7917624100496,0.9941593721318722,0.018725992500480734,0.08345329623384067
Onset recovery summaries,1,4182.560250699505,3947.7213381412903,1.0,-0.0,
Onset recovery summaries,2,4392.509234908948,3919.78155378527,0.979107412078082,0.053240617430730434,0.1564528102076564
Onset recovery summaries,3,4661.014322428963,3950.3978727398207,0.9573717816508028,0.11454976643564933,0.09556651563571131
Onset recovery summaries,4,4647.195278570287,3698.690060315681,0.9732078532374019,0.07567387468913686,0.11607718958697912
Onset recovery summaries,5,4872.299419458691,3685.905432638621,0.9769311310179989,0.0676307011702291,0.12579785454875
