metric,quartile,next_injured_sessions,sessions,risk,risk_pct
Current workload u(t),Q1,457.0,3855,0.1185473411154345,11.854734111543449
Current workload u(t),Q2,430.0,3855,0.11154345006485085,11.154345006485086
Current workload u(t),Q3,479.0,3855,0.12425421530479897,12.425421530479897
Current workload u(t),Q4,924.0,3855,0.2396887159533074,23.96887159533074
3-session rolling workload,Q1,303.0,3855,0.07859922178988327,7.8599221789883265
3-session rolling workload,Q2,417.0,3855,0.10817120622568094,10.817120622568094
3-session rolling workload,Q3,558.0,3855,0.14474708171206227,14.474708171206228
3-session rolling workload,Q4,1012.0,3855,0.26251621271076525,26.251621271076527
Smoothed fatigue proxy y(t),Q1,134.0,3855,0.03476005188067445,3.476005188067445
Smoothed fatigue proxy y(t),Q2,291.0,3855,0.0754863813229572,7.54863813229572
Smoothed fatigue proxy y(t),Q3,544.0,3855,0.1411154345006485,14.11154345006485
Smoothed fatigue proxy y(t),Q4,1321.0,3855,0.34267185473411155,34.26718547341115
